iter	Logloss
0	0.6925223039
1	0.6919215668
2	0.6912999812
3	0.6906655362
4	0.6900727413
5	0.6895211176
6	0.6889651279
7	0.6884345539
8	0.6879018438
9	0.6873721369
10	0.6868689988
11	0.6863673535
12	0.6858539981
13	0.6853064637
14	0.6847872212
15	0.6842901959
16	0.6838395899
17	0.6834116909
18	0.6829542458
19	0.6825094393
20	0.6820766157
21	0.6816426722
22	0.681195973
23	0.6807527204
24	0.6803204769
25	0.6798970761
26	0.6794805207
27	0.6790890749
28	0.6786999466
29	0.6782809356
30	0.6779319569
31	0.6775686688
32	0.6772386237
33	0.6768625521
34	0.6765472222
35	0.6761932371
36	0.6758684752
37	0.6755213632
38	0.6751925581
39	0.6748777399
40	0.6745646943
41	0.6742710645
42	0.6739483168
43	0.6736196297
44	0.6733068095
45	0.67301288
46	0.672708697
47	0.6724044861
48	0.6721255408
49	0.6718181975
50	0.6715618621
51	0.6712896972
52	0.671031259
53	0.6707380484
54	0.6704767383
55	0.6702049043
56	0.6699590671
57	0.669700201
58	0.6694571718
59	0.6692116552
60	0.6690022916
61	0.6687412394
62	0.6684990176
63	0.6682739403
64	0.6680546811
65	0.6678229596
66	0.6676037767
67	0.6674011076
68	0.6671891724
69	0.666971378
70	0.6667642424
71	0.666553664
72	0.6663610954
73	0.6661658689
74	0.6659790387
75	0.6657715507
76	0.6655683387
77	0.6653571853
78	0.6651723791
79	0.6649840014
80	0.6647972724
81	0.664632884
82	0.6644493224
83	0.6642783417
84	0.6641036213
85	0.663925513
86	0.6637637005
87	0.6636000961
88	0.6634313832
89	0.6632696977
90	0.6631180314
91	0.6629683557
92	0.662801192
93	0.6626391242
94	0.6624772912
95	0.6623280479
96	0.6621671019
97	0.662029671
98	0.6618825548
99	0.6617425255
100	0.6616237482
101	0.6614752777
102	0.6613384904
103	0.6611957991
104	0.6610541054
105	0.6609176029
106	0.6607846188
107	0.6606687672
108	0.6605489928
109	0.6604221242
110	0.6602873575
111	0.6601575906
112	0.6600449768
113	0.6599333118
114	0.6598097367
115	0.6596990716
116	0.6595767803
117	0.659471095
