iter	Passed	Remaining
0	188	56376
1	227	33960
2	269	26652
3	313	23229
4	361	21335
5	412	20232
6	455	19086
7	502	18341
8	552	17851
9	596	17293
10	640	16836
11	687	16491
12	731	16158
13	779	15923
14	839	15949
15	890	15802
16	943	15712
17	992	15544
18	1038	15352
19	1088	15239
20	1133	15061
21	1184	14972
22	1261	15189
23	1319	15177
24	1379	15177
25	1431	15090
26	1490	15067
27	1546	15021
28	1594	14903
29	1651	14861
30	1702	14770
31	1751	14672
32	1799	14562
33	1846	14449
34	1893	14334
35	1938	14219
36	1984	14106
37	2037	14049
38	2077	13906
39	2129	13842
40	2172	13724
41	2220	13641
42	2266	13543
43	2309	13439
44	2354	13342
45	2403	13269
46	2448	13182
47	2493	13090
48	2539	13010
49	2586	12933
50	2635	12868
51	2680	12782
52	2720	12678
53	2766	12603
54	2814	12536
55	2863	12478
56	2907	12396
57	2953	12324
58	3003	12267
59	3048	12195
60	3096	12131
61	3137	12045
62	3180	11965
63	3224	11890
64	3270	11825
65	3316	11759
66	3367	11711
67	3411	11639
68	3456	11572
69	3500	11502
70	3541	11423
71	3590	11370
72	3637	11311
73	3676	11229
74	3723	11170
75	3768	11106
76	3811	11037
77	3855	10973
78	3899	10907
79	3945	10849
80	3991	10791
81	4032	10720
82	4073	10650
83	4117	10587
84	4164	10532
85	4210	10476
86	4253	10414
87	4296	10350
88	4344	10298
89	4395	10255
90	4436	10189
91	4480	10130
92	4523	10067
93	4568	10010
94	4610	9950
95	4653	9887
96	4699	9834
97	4743	9778
98	4791	9727
99	4838	9676
100	4880	9616
101	4927	9564
102	4971	9508
103	5018	9458
104	5059	9397
105	5104	9342
106	5150	9289
107	5192	9231
108	5236	9175
109	5276	9114
110	5319	9057
111	5361	8999
112	5404	8944
113	5442	8880
114	5481	8817
115	5534	8778
116	5579	8726
117	5633	8689
118	5676	8633
119	5723	8585
120	5773	8541
121	5816	8486
122	5865	8440
123	5912	8391
124	5964	8350
125	6016	8308
126	6066	8263
127	6131	8238
128	6195	8212
129	6262	8188
130	6317	8150
131	6374	8113
132	6431	8075
133	6489	8038
134	6552	8008
135	6605	7965
136	6655	7918
137	6702	7867
138	6751	7820
139	6804	7777
140	6852	7727
141	6898	7675
142	6951	7632
143	7000	7583
144	7048	7535
145	7098	7487
146	7150	7442
147	7194	7388
148	7246	7343
149	7303	7303
150	7354	7256
151	7402	7207
152	7457	7164
153	7509	7119
154	7561	7073
155	7609	7023
156	7657	6974
157	7706	6926
158	7761	6882
159	7806	6830
160	7856	6782
161	7907	6735
162	7958	6689
163	8018	6649
164	8063	6597
165	8109	6546
166	8159	6498
167	8208	6449
168	8261	6403
169	8316	6359
170	8369	6314
171	8416	6263
172	8467	6216
173	8516	6167
174	8570	6121
175	8618	6072
176	8672	6026
177	8724	5979
178	8778	5933
179	8833	5889
180	8887	5843
181	8937	5794
182	8983	5743
183	9045	5702
184	9099	5656
185	9149	5608
186	9198	5558
187	9248	5509
188	9303	5464
189	9359	5418
190	9406	5368
191	9454	5317
192	9507	5271
193	9562	5224
194	9613	5176
195	9659	5125
196	9707	5075
197	9753	5024
198	9805	4976
199	9852	4926
200	9901	4876
201	9951	4828
202	9999	4778
203	10046	4727
204	10094	4678
205	10144	4629
206	10196	4581
207	10248	4532
208	10292	4481
209	10345	4433
210	10393	4383
211	10441	4334
212	10492	4285
213	10536	4234
214	10587	4185
215	10635	4135
216	10678	4084
217	10721	4032
218	10777	3986
219	10826	3936
220	10870	3885
221	10923	3838
222	10973	3788
223	11027	3741
224	11077	3692
225	11126	3643
226	11179	3595
227	11229	3546
228	11283	3498
229	11337	3450
230	11395	3403
231	11448	3355
232	11499	3306
233	11549	3257
234	11597	3207
235	11642	3157
236	11692	3108
237	11740	3058
238	11791	3009
239	11838	2959
240	11884	2909
241	11930	2859
242	11972	2808
243	12034	2761
244	12083	2712
245	12130	2662
246	12177	2613
247	12221	2562
248	12263	2511
249	12312	2462
250	12356	2412
251	12405	2362
252	12452	2313
253	12498	2263
254	12545	2213
255	12596	2165
256	12643	2115
257	12692	2066
258	12746	2017
259	12788	1967
260	12836	1918
261	12886	1869
262	12934	1819
263	12983	1770
264	13024	1720
265	13072	1670
266	13122	1621
267	13171	1572
268	13218	1523
269	13262	1473
270	13314	1424
271	13358	1375
272	13407	1326
273	13458	1277
274	13518	1228
275	13566	1179
276	13620	1130
277	13671	1081
278	13717	1032
279	13765	983
280	13813	933
281	13858	884
282	13907	835
283	13960	786
284	14012	737
285	14064	688
286	14112	639
287	14168	590
288	14219	541
289	14273	492
290	14325	443
291	14377	393
292	14428	344
293	14474	295
294	14523	246
295	14573	196
296	14617	147
297	14669	98
298	14714	49
299	14766	0
