symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,reason,hold_days,cumulative_pnl
CINELINE,2024-01-20,2024-01-23,153.3,146.272961414,-4.94,-98.88,Stop Loss,3,-98.88
IFCI,2024-01-20,2024-01-24,38.5,45.25350630262712,17.18,343.63,Take Profit,4,244.75
IRFC,2024-01-20,2024-01-24,176.25,153.8791453919159,-13.05,-261.05,Stop Loss,4,-16.30000000000001
KEYFINSERV,2024-01-20,2024-01-25,151.3,135.67242462908462,-10.69,-213.78,Stop Loss,5,-230.08
KANANIIND,2024-01-20,2024-01-25,4.38,5.03,14.48,289.6,Time Stop (5d),5,59.52000000000001
JWL,2024-01-20,2024-01-25,419.05,394.05,-6.33,-126.52,Time Stop (5d),5,-66.99999999999999
JPPOWER,2024-01-20,2024-01-25,16.7,16.1,-3.95,-79.06,Time Stop (5d),5,-146.06
JHS,2024-01-20,2024-01-25,32.85,35.8,8.62,172.4,Time Stop (5d),5,26.340000000000003
IBULLSLTD,2024-01-20,2024-01-25,13.35,11.5,-14.22,-284.35,Time Stop (5d),5,-258.01
HUBTOWN,2024-01-20,2024-01-25,109.45,125.3794856973075,14.19,283.88,Take Profit,5,25.870000000000005
HAVISHA,2024-01-20,2024-01-25,3.2,3.05,-5.05,-100.95,Time Stop (5d),5,-75.08
GPTINFRA,2024-01-20,2024-01-25,89.63,93.83,4.33,86.52,Time Stop (5d),5,11.439999999999998
GILLANDERS,2024-01-20,2024-01-25,153.35,146.9,-4.57,-91.32,Time Stop (5d),5,-79.88
21STCENMGM,2024-01-20,2024-01-25,38.3,40.55,5.51,110.29,Time Stop (5d),5,30.41000000000001
GATECHDVR,2024-01-20,2024-01-25,4.76,4.89,2.37,47.42,Time Stop (5d),5,77.83000000000001
ELECTHERM,2024-01-20,2024-01-25,329.05,347.95,5.38,107.68,Time Stop (5d),5,185.51000000000002
DHANBANK,2024-01-20,2024-01-25,37.53,41.55,10.35,207.03,Time Stop (5d),5,392.54
CUPID,2024-01-20,2024-01-25,18.62,17.72,-5.19,-103.87,Time Stop (5d),5,288.67
CENTEXT,2024-01-20,2024-01-25,31.0,29.45,-5.36,-107.2,Time Stop (5d),5,181.47000000000003
BIL,2024-01-20,2024-01-25,376.4,361.65,-4.28,-85.57,Time Stop (5d),5,95.90000000000003
AURIGROW,2024-01-20,2024-01-25,0.65,0.7,7.33,146.65,Time Stop (5d),5,242.55000000000004
ACCURACY,2024-01-20,2024-01-25,14.85,15.1,1.32,26.47,Time Stop (5d),5,269.02000000000004
63MOONS,2024-01-20,2024-01-25,434.35,413.55,-5.15,-102.98,Time Stop (5d),5,166.04000000000002
3PLAND,2024-01-20,2024-01-25,37.45,34.95,-7.04,-140.71,Time Stop (5d),5,25.330000000000013
GENCON,2024-01-20,2024-01-25,48.6,49.5,1.49,29.84,Time Stop (5d),5,55.170000000000016
BEARDSELL,2024-01-24,2024-01-29,46.25,50.95,9.8,196.04,Time Stop (5d),5,251.21
AAREYDRUGS,2024-01-23,2024-01-29,52.0,53.85,3.2,63.95,Time Stop (5d),6,315.16
AVONMORE,2024-01-24,2024-01-29,10.81,11.33,4.45,89.01,Time Stop (5d),5,404.17
GOODLUCK,2024-01-25,2024-01-30,1009.4,1064.3,5.08,101.58,Time Stop (5d),5,505.75
MANAKCOAT,2024-01-25,2024-01-30,35.05,34.3,-2.5,-50.0,Time Stop (5d),5,455.75
MALUPAPER,2024-01-25,2024-01-30,60.95,63.45,3.74,74.83,Time Stop (5d),5,530.58
LOTUSEYE,2024-01-25,2024-01-30,80.0,76.1,-5.24,-104.7,Time Stop (5d),5,425.88000000000005
KANANIIND,2024-01-25,2024-01-30,5.03,5.55,9.98,199.56,Time Stop (5d),5,625.44
JINDALPHOT,2024-01-25,2024-01-30,548.0,591.65,7.61,152.11,Time Stop (5d),5,777.5500000000001
JAIBALAJI,2024-01-25,2024-01-30,207.8,222.0,6.47,129.47,Time Stop (5d),5,907.0200000000001
INDOWIND,2024-01-25,2024-01-30,26.99,29.50146991125406,8.95,178.9,Take Profit,5,1085.92
IMPAL,2024-01-25,2024-01-30,1175.0,1139.8,-3.36,-67.11,Time Stop (5d),5,1018.8100000000001
GATECHDVR,2024-01-25,2024-01-30,4.89,4.79,-2.4,-48.1,Time Stop (5d),5,970.71
