  Model loaded → /app/models/tradesage_10y.pkl
  Features : 107
  Saved AUC: 0.6699
  Ensemble : ['lgbm', 'catboost']
2026-05-08 03:52:36,134 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASIANTILES via all methods.
2026-05-08 03:52:40,615 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASKAUTOLTD via all methods.
2026-05-08 03:52:44,093 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASMS via all methods.
2026-05-08 03:52:48,551 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASPINWALL via all methods.
2026-05-08 03:52:53,030 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASTEC via all methods.
2026-05-08 03:52:56,553 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASTERDM via all methods.
2026-05-08 03:53:00,092 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASTRAL via all methods.
2026-05-08 03:53:04,615 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASTRAMICRO via all methods.
2026-05-08 03:53:08,091 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ASTRAZEN via all methods.
2026-05-08 03:53:08,113 [WARNING] src.angel.angel_data_fetcher: Symbol ASTRON not found in NSE Equities index.
2026-05-08 03:53:12,616 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATALREAL via all methods.
2026-05-08 03:53:16,091 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATAM via all methods.
2026-05-08 03:53:20,615 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATGL via all methods.
2026-05-08 03:53:24,094 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATHERENERG via all methods.
2026-05-08 03:53:28,678 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATL via all methods.
2026-05-08 03:53:32,135 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATLANTAA via all methods.
2026-05-08 03:53:32,155 [WARNING] src.angel.angel_data_fetcher: Symbol ATLANTAELE not found in NSE Equities index.
2026-05-08 03:53:36,680 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATLASCYCLE via all methods.
2026-05-08 03:53:40,155 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATUL via all methods.
2026-05-08 03:53:44,615 [WARNING] src.core.screener_scraper: Failed to fetch HTML for ATULAUTO via all methods.
2026-05-08 03:53:48,094 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AUBANK via all methods.
2026-05-08 03:53:52,616 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AURIGROW via all methods.
2026-05-08 03:53:56,135 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AURIONPRO via all methods.
2026-05-08 03:54:00,616 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AUROPHARMA via all methods.
2026-05-08 03:54:04,134 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AURUM via all methods.
2026-05-08 03:54:08,680 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AUTOAXLES via all methods.
2026-05-08 03:54:12,201 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AUTOBEES via all methods.
2026-05-08 03:54:16,678 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AUTOIETF via all methods.
2026-05-08 03:54:20,200 [WARNING] src.core.screener_scraper: Failed to fetch HTML for AUTOIND via all methods.
2026-05-08 03:54:20,305 [WARNING] src.angel.angel_data_fetcher: Symbol AVADHSUGAR not found in NSE Equities index.
